Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-21,NASDAQ Options Market (Q),2654217,377202,784968975.000000,0,0,0.000000,2654217,377202,784968975.000000
2025-05-21,MIAX Sapphire (S),1942003,281375,499947565.000000,0,0,0.000000,1942003,281375,499947565.000000
2025-05-21,Nasdaq BX Options (T),918298,108735,193003718.000000,0,0,0.000000,918298,108735,193003718.000000
2025-05-21,Members Exchange (U),2113121,295024,522420548.000000,0,0,0.000000,2113121,295024,522420548.000000
2025-05-21,Cboe C2 Options Exchange (W),1671123,199444,419172360.000000,13773,3518,23300375.000000,1684896,202962,442472735.000000
2025-05-21,Nasdaq PHLX (X),5344252,482781,2010906731.000000,50135,19494,263906813.000000,5394387,502275,2274813544.000000
2025-05-21,Cboe BZX Options Exchange (Z),2372401,330629,742185928.000000,1818,373,5562892.000000,2374219,331002,747748820.000000
2025-05-20,NYSE American Options (A),2154635,255269,677425861.000000,0,0,0.000000,2154635,255269,677425861.000000
2025-05-20,BOX Options (B),2853736,325996,1485332506.000000,0,0,0.000000,2853736,325996,1485332506.000000
2025-05-20,Cboe Options Exchange (C),4184229,701132,1389820522.000000,4099309,935865,11185119809.000000,8283538,1636997,12574940331.000000
2025-05-20,MIAX Emerald (D),1882546,324914,581654256.000000,0,0,0.000000,1882546,324914,581654256.000000
2025-05-20,Cboe EDGX Options Exchange (E),2759772,479375,664871699.000000,0,0,0.000000,2759772,479375,664871699.000000
2025-05-20,Nasdaq GEMX (H),1702637,214723,393268612.000000,150,97,6762580.000000,1702787,214820,400031192.000000
2025-05-20,Nasdaq ISE (I),2658464,401499,1060072165.000000,28668,9843,105637505.000000,2687132,411342,1165709670.000000
2025-05-20,Nasdaq MRX (J),1286628,190666,352632963.000000,0,0,0.000000,1286628,190666,352632963.000000
2025-05-20,MIAX Options Exchange (M),3434428,589073,960440692.000000,0,0,0.000000,3434428,589073,960440692.000000
2025-05-20,NYSE Arca Options (N),4630568,629794,1814647950.000000,0,0,0.000000,4630568,629794,1814647950.000000
2025-05-20,MIAX Pearl (P),749104,108124,164289637.000000,0,0,0.000000,749104,108124,164289637.000000
2025-05-20,NASDAQ Options Market (Q),2037075,308073,648405140.000000,0,0,0.000000,2037075,308073,648405140.000000
2025-05-20,MIAX Sapphire (S),1448425,232315,413554316.000000,0,0,0.000000,1448425,232315,413554316.000000
2025-05-20,Nasdaq BX Options (T),704003,86368,143458851.000000,0,0,0.000000,704003,86368,143458851.000000
2025-05-20,Members Exchange (U),1552096,231740,391264669.000000,0,0,0.000000,1552096,231740,391264669.000000
2025-05-20,Cboe C2 Options Exchange (W),1270051,159486,270829233.500000,7549,2026,10226781.000000,1277600,161512,281056014.500000
2025-05-20,Nasdaq PHLX (X),3761346,405484,1549498035.500000,44472,13979,148803365.000000,3805818,419463,1698301400.500000
2025-05-20,Cboe BZX Options Exchange (Z),1672978,252985,549776248.000000,863,231,3859581.000000,1673841,253216,553635829.000000
2025-05-19,NYSE American Options (A),2325067,253149,1118057123.000000,0,0,0.000000,2325067,253149,1118057123.000000
